Video file,Type,FPS,Species,Architecture,Number of measurements,Timespan of measurements (s),Number of zooids,Mean zooid length (mm),Mean zooid width (mm),Pulsation rate (pulses/s),Mean swimming speed (mm/s)
A001C0205_20210710141212_0001_1,3D,120,Salpa fusiformis,Linear,9,1.5,15,10.685,5.114,5.43,31.44
A001C0225_20210917231024_0001,3D,120,Salpa fusiformis,Linear,9,1.5,7,9.448,4.298,2.00,47.47
A001C0230_20210918220927_0001,3D,120,Salpa fusiformis,Linear,5,0.83,27,8.428,4.307,4.25,69.08
A001C0350_20210922221154_0001,3D,120,Salpa fusiformis,Linear,9,1.5,16,21.126,7.991,2.20,55.35
A002C0059_20220421230521_0001,3D,60,Salpa fusiformis,Linear,12,4.01,21,18.078,7.499,2.44,91.67
A002C0059_20220421230521_0001,3D,60,Salpa fusiformis,Linear,12,4.01,21,18.078,7.499,2.17,91.67
A002C0072_20220422223646_0001,3D,60,Salpa fusiformis,Linear,9,3,17,27.564,14.766,3.75,43.57
A002C0095_20220422231109_0001,3D,60,Salpa fusiformis,Linear,9,3.01,4,24.133,10.177,2.00,27.09
A001C0320_20210921215927_0001,3D,120,Salpa maxima,Linear,8,1.33,2,48.129,30.804,1.00,71.99
A002C0019_20220420225823_0001_1,3D,60,Salpa maxima,Linear,11,3.67,2,68.311,34.78,0.50,74.01
A002C0019_20220420225823_0001_2,3D,60,Salpa maxima,Linear,8,2.67,2,68.311,34.78,0.50,47.55
C0164,2D,120,Salpa maxima,Linear,7,0.87,2,NA,NA,NA,30.03
A001C0247_20210918223147_0001_2,3D,120,Soestia zonaria,Linear,8,1.34,8,25.304,12.515,1.50,141.34
A001C0252_20210918223920_0001,3D,120,Soestia zonaria,Linear,9,1.5,8,NA,NA,1.14,142.34
A001C0357_20210922222753_0001,3D,120,Soestia zonaria,Linear,9,1.5,7,6.499,4.37,1.83,84.33
GX010104,2D,240,Soestia zonaria,Linear,8,0.5,20,9.162,3.417,3.00,68.68
C0123_b,2D,30,Thalia sp.,Oblique,28,13.13,29,3.508,2.281,4.50,5.84
A001C0341_20210921224426_0001,3D,120,Pegea sp.,Transversal,7,1.75,20,31.186,11.264,1.90,15.88
A001C0352_20210922221526_0001,3D,120,Pegea sp.,Transversal,11,2.75,4,30.728,16.412,1.50,24.78
C0066,2D,30,Cyclosalpa affinis,Whorl,11,5.5,4,41.74,17.384,1.22,18.82
c0165_b,2D,30,Cyclosalpa affinis,Whorl,4,2,6,24.178,8.754,1.50,30.11
A001C0207_20210710141533_0001,3D,120,Cyclosalpa bakeri,Whorl,9,2.5,4,8.44,4.664,2.38,11.86
A001C0209_20210710141857_0001,3D,120,Cyclosalpa bakeri,Whorl,9,1.5,4,8.702,3.699,2.63,11.49
A001C0210_20210710142059_0001_1,3D,120,Cyclosalpa bakeri,Whorl,9,1.5,6,4.519,2.036,4.33,10.46
A001C0211_20210710142218_0001,3D,120,Cyclosalpa bakeri,Whorl,9,1.5,6,4.297,2.552,2.00,6.83
A001C0214_20210710142543_0001,3D,120,Cyclosalpa bakeri,Whorl,9,1.5,6,10.659,4.358,3.45,11.08
A001C0330_20210921221301_0001,3D,120,Cyclosalpa bakeri,Whorl,11,1.84,11,8.057,3.892,2.00,8.73
A002C0073_20220422223852_0001,3D,60,Cyclosalpa bakeri,Whorl,7,3.5,13,4.545,2.311,1.64,12.49
C0070,2D,30,Cyclosalpa quadriluminis,Whorl,6,3,8,27.104,12.105,1.33,25.26
